cod_mpio,municipio,departamento,riesgo_nivel,score_anomalia,idx_minero,idx_deforestacion,idx_fuego,idx_hidrico,idx_sensibilidad,es_anomalia
50350,LA MACARENA,META,Crítico,1.0,0.2121,0.9652,0.6871,0.0,1.0,1
50325,MAPIRIPÁN,META,Crítico,0.9363,0.0,0.9098,0.713,0.0,0.7004,1
99773,CUMARIBO,VICHADA,Crítico,0.9346,0.1102,0.8564,0.8971,0.0,0.0,1
73200,COELLO,TOLIMA,Crítico,0.9142,0.7868,0.0,0.5801,0.49,0.0,1
68081,BARRANCABERMEJA,SANTANDER,Crítico,0.8959,0.73,0.0,0.4561,0.43,0.7133,1
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,Crítico,0.8906,0.3478,1.0,0.539,0.0,0.6335,1
50370,URIBE,META,Crítico,0.8711,0.2112,0.8582,0.0,0.0,1.0,1
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,Crítico,0.8671,0.0,0.9839,0.3203,0.0,0.5515,1
50590,PUERTO RICO,META,Crítico,0.8623,0.134,0.8379,0.0,0.0,1.0,1
20178,CHIRIGUANÁ,CESAR,Crítico,0.8414,0.4954,0.0,0.9923,0.305,0.0,1
85139,MANÍ,CASANARE,Crítico,0.8326,0.4103,0.0,0.5916,0.4,0.6337,1
13430,MAGANGUÉ,BOLÍVAR,Alto,0.8255,0.2489,0.0,0.7014,0.39,0.0,1
73275,FLANDES,TOLIMA,Crítico,0.8236,0.6896,0.0,0.2976,0.473,0.0,1
23466,MONTELÍBANO,CÓRDOBA,Crítico,0.8226,0.6158,0.0,0.4304,0.46,0.25,1
20621,LA PAZ,CESAR,Crítico,0.8144,0.5154,0.0,0.7053,0.391,0.25,1
81220,CRAVO NORTE,ARAUCA,Medio,0.8063,0.0,0.0,0.5853,0.234,0.8128,1
50006,ACACÍAS,META,Crítico,0.8062,0.7731,0.0,0.0497,0.4,0.6273,1
50568,PUERTO GAITÁN,META,Crítico,0.7969,0.4318,0.5224,0.8073,0.0,0.537,1
95025,EL RETORNO,GUAVIARE,Alto,0.7968,0.0,0.8771,0.0,0.0,0.8181,1
25286,FUNZA,CUNDINAMARCA,Bajo,0.7874,0.0,0.0,0.0,0.567,0.478,1
41306,GIGANTE,HUILA,Bajo,0.7871,0.0266,0.0,0.0,0.43,0.6656,1
44650,SAN JUAN DEL CESAR,LA GUAJIRA,Alto,0.7654,0.1171,0.0,0.6889,0.18,0.7529,1
86320,ORITO,PUTUMAYO,Crítico,0.7503,0.6224,0.6828,0.0,0.0,0.843,1
50711,VISTAHERMOSA,META,Crítico,0.748,0.2605,0.8294,0.1735,0.0,0.25,1
95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,Crítico,0.7478,0.5171,0.9686,0.0,0.0,0.25,1
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,Alto,0.7447,0.1095,0.5374,0.0,0.0,0.9686,1
25851,ÚTICA,CUNDINAMARCA,Medio,0.7423,0.1907,0.0,0.0,0.6,0.0,1
20295,GAMARRA,CESAR,Medio,0.7368,0.2869,0.0,0.4173,0.37,0.0,1
76892,YUMBO,VALLE DEL CAUCA,Crítico,0.7339,0.8367,0.0,0.0,0.32,0.5642,1
25740,SIBATÉ,CUNDINAMARCA,Medio,0.7252,0.2029,0.0,0.0,0.5,0.3178,1
19001,POPAYÁN,CAUCA,Crítico,0.713,0.6541,0.0,0.3869,0.33,0.309,1
50450,PUERTO CONCORDIA,META,Crítico,0.7125,0.2911,0.598,0.0,0.0,0.905,1
20570,PUEBLO BELLO,CESAR,Alto,0.7063,0.1856,0.0,0.6419,0.0,1.0,1
86571,PUERTO GUZMÁN,PUTUMAYO,Crítico,0.7032,0.4522,0.8696,0.0,0.0,0.25,1
18756,SOLANO,CAQUETÁ,Crítico,0.7028,0.2555,0.8673,0.0,0.0,0.25,1
95015,CALAMAR,GUAVIARE,Alto,0.699,0.0,0.9108,0.0,0.0,0.25,1
15572,PUERTO BOYACÁ,BOYACÁ,Crítico,0.6962,0.713,0.0,0.3627,0.3,0.0,1
44090,DIBULLA,LA GUAJIRA,Crítico,0.6938,0.5071,0.0,0.9279,0.0,0.8343,1
47245,EL BANCO,MAGDALENA,Medio,0.6925,0.2564,0.0,0.6626,0.25,0.0,1
5495,NECHÍ,ANTIOQUIA,Crítico,0.6916,0.6294,0.0,0.0,0.25,0.8976,1
86573,PUERTO LEGUÍZAMO,PUTUMAYO,Crítico,0.6824,0.3506,0.8349,0.0,0.0,0.25,1
20001,VALLEDUPAR,CESAR,Crítico,0.6821,0.8259,0.0,0.6723,0.0,0.7827,1
13473,MORALES,BOLÍVAR,Crítico,0.6742,0.5963,0.0,0.472,0.298,0.25,1
85001,YOPAL,CASANARE,Crítico,0.6713,0.7334,0.0,0.0801,0.26,0.5569,1
19473,MORALES,CAUCA,Medio,0.6709,0.3323,0.0,0.0,0.45,0.3086,1
20175,CHIMICHAGUA,CESAR,Crítico,0.6694,0.6191,0.0,0.9354,0.0,0.7574,1
94887,PANA PANA,GUAINÍA,Medio,0.6658,0.0,0.4723,0.0,0.0,0.8893,1
99524,LA PRIMAVERA,VICHADA,Medio,0.6621,0.0209,0.0,0.8773,0.0,0.6929,1
13212,CÓRDOBA,BOLÍVAR,Medio,0.662,0.0098,0.0,0.5408,0.0,0.9575,1
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",Crítico,0.6614,0.7163,0.0,0.1321,0.193,0.6063,1
41206,COLOMBIA,HUILA,Bajo,0.6575,0.0,0.0,0.0,0.41,0.0,1
54245,EL CARMEN,NORTE DE SANTANDER,Medio,0.6518,0.0332,0.0,0.8941,0.0,0.5195,1
5390,LA PINTADA,ANTIOQUIA,Alto,0.6508,0.6505,0.0,0.0,0.37,0.4022,1
20228,CURUMANÍ,CESAR,Crítico,0.6485,0.7368,0.0,0.732,0.0,0.7663,1
54518,PAMPLONA,NORTE DE SANTANDER,Medio,0.6463,0.4603,0.0,0.0,0.41,0.0,1
86568,PUERTO ASÍS,PUTUMAYO,Crítico,0.6459,0.4297,0.7223,0.0,0.0,0.5869,1
44378,HATONUEVO,LA GUAJIRA,Alto,0.6436,0.5256,0.0,0.2044,0.27,0.5938,1
18410,LA MONTAÑITA,CAQUETÁ,Alto,0.6401,0.082,0.6435,0.0,0.0,0.7132,0
95200,MIRAFLORES,GUAVIARE,Medio,0.6397,0.0272,0.7503,0.0,0.0,0.25,0
70713,SAN ONOFRE,SUCRE,Bajo,0.633,0.0,0.0,0.2278,0.0,1.0,0
68573,PUERTO PARRA,SANTANDER,Bajo,0.6284,0.0,0.0,0.1932,0.2,0.6637,0
54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,Crítico,0.6242,0.9469,0.0,0.6442,0.0,0.0,0
52573,PUERRES,NARIÑO,Alto,0.6235,0.305,0.2721,0.6539,0.0,0.0,0
52540,POLICARPA,NARIÑO,Bajo,0.6219,0.0061,0.0,0.0,0.329,0.25,0
19533,PIAMONTE,CAUCA,Crítico,0.6159,0.3102,0.6278,0.0,0.0,0.7342,0
5440,MARINILLA,ANTIOQUIA,Bajo,0.6142,0.1171,0.0,0.0,0.365,0.0,0
19809,TIMBIQUÍ,CAUCA,Crítico,0.6102,1.0,0.0,0.0,0.0,0.8543,0
97001,MITÚ,VAUPÉS,Medio,0.6071,0.2187,0.706,0.0,0.0,0.0,0
18460,MILÁN,CAQUETÁ,Medio,0.6043,0.0,0.5939,0.0,0.0,0.7151,0
86001,MOCOA,PUTUMAYO,Crítico,0.6037,0.4977,0.5501,0.0,0.0,0.7779,0
20443,MANAURE BALCÓN DEL CESAR,CESAR,Alto,0.6008,0.3027,0.0,0.618,0.0,0.893,0
86760,SANTIAGO,PUTUMAYO,Medio,0.5979,0.0404,0.4962,0.0,0.0,0.6918,0
19110,BUENOS AIRES,CAUCA,Alto,0.5948,0.6819,0.0,0.349,0.165,0.25,0
68307,GIRÓN,SANTANDER,Crítico,0.5948,0.8083,0.0,0.6851,0.0,0.524,0
13268,EL PEÑÓN,BOLÍVAR,Bajo,0.5935,0.0,0.0,1.0,0.0,0.0,0
15332,GÜICÁN DE LA SIERRA,BOYACÁ,Bajo,0.5903,0.1392,0.0,0.0,0.155,0.8074,0
91540,PUERTO NARIÑO,AMAZONAS,Bajo,0.5898,0.0,0.3691,0.0,0.0,0.7988,0
94001,INÍRIDA,GUAINÍA,Crítico,0.5895,0.5009,0.6368,0.0,0.0,0.4415,0
44001,RIOHACHA,LA GUAJIRA,Crítico,0.5889,0.6255,0.0,0.9123,0.0,0.523,0
19701,SANTA ROSA,CAUCA,Crítico,0.5873,0.634,0.5306,0.0,0.0,0.5967,0
25873,VILLAPINZÓN,CUNDINAMARCA,Alto,0.587,0.7062,0.0,0.0,0.285,0.4653,0
50330,MESETAS,META,Alto,0.586,0.2536,0.6913,0.0,0.0,0.25,0
18860,VALPARAÍSO,CAQUETÁ,Medio,0.5787,0.0,0.589,0.0,0.0,0.5952,0
86569,PUERTO CAICEDO,PUTUMAYO,Crítico,0.5775,0.4601,0.6785,0.0,0.0,0.25,0
76364,JAMUNDÍ,VALLE DEL CAUCA,Crítico,0.5773,0.8051,0.0,0.6401,0.0,0.4847,0
91669,PUERTO SANTANDER,AMAZONAS,Medio,0.5763,0.0,0.7252,0.0,0.0,0.0,0
8001,BARRANQUILLA,ATLÁNTICO,Medio,0.5677,0.5599,0.0,0.0,0.339,0.0,0
86885,VILLAGARZÓN,PUTUMAYO,Alto,0.5655,0.3615,0.6203,0.0,0.0,0.3972,0
66594,QUINCHÍA,RISARALDA,Alto,0.5652,0.7217,0.0,0.0,0.27,0.3586,0
86865,VALLE DEL GUAMUEZ,PUTUMAYO,Medio,0.5601,0.1929,0.6367,0.0,0.0,0.25,0
54810,TIBÚ,NORTE DE SANTANDER,Crítico,0.5585,0.6276,0.0,0.8618,0.0,0.502,0
47555,PLATO,MAGDALENA,Medio,0.5527,0.1954,0.0,0.9034,0.0,0.0,0
76616,RIOFRÍO,VALLE DEL CAUCA,Medio,0.5513,0.4883,0.0,0.0,0.33,0.1973,0
94886,CACAHUAL,GUAINÍA,Bajo,0.5495,0.0,0.6906,0.0,0.0,0.0,0
76563,PRADERA,VALLE DEL CAUCA,Bajo,0.5404,0.037,0.0,0.5517,0.0,0.7811,0
20250,EL PASO,CESAR,Alto,0.5378,0.3857,0.0,0.8075,0.0,0.3357,0
18256,EL PAUJÍL,CAQUETÁ,Crítico,0.5366,0.5292,0.4714,0.0,0.0,0.6751,0
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,Crítico,0.5362,0.4531,0.5224,0.0,0.0,0.6306,0
19050,ARGELIA,CAUCA,Bajo,0.5332,0.0367,0.0,0.4385,0.0,0.8183,0
15322,GUATEQUE,BOYACÁ,Bajo,0.5306,0.2926,0.0,0.0,0.33,0.0,0
54261,EL ZULIA,NORTE DE SANTANDER,Crítico,0.5304,0.882,0.0,0.4706,0.0,0.0,0
18205,CURILLO,CAQUETÁ,Bajo,0.5304,0.0,0.4891,0.0,0.0,0.5079,0
13667,SAN MARTÍN DE LOBA,BOLÍVAR,Crítico,0.5298,0.8335,0.0,0.6155,0.0,0.0,0
5792,TARSO,ANTIOQUIA,Bajo,0.5295,0.263,0.0,0.0,0.31,0.2577,0
52022,ALDANA,NARIÑO,Bajo,0.5293,0.0,0.0,0.0,0.297,0.0,0
25293,GACHALÁ,CUNDINAMARCA,Alto,0.5277,0.6829,0.0,0.0,0.243,0.4761,0
19256,EL TAMBO,CAUCA,Crítico,0.5255,0.7899,0.0,0.4818,0.0,0.5942,0
50689,SAN MARTÍN,META,Crítico,0.5224,0.5316,0.0,0.8192,0.0,0.3441,0
52356,IPIALES,NARIÑO,Alto,0.5208,0.4958,0.563,0.0,0.0,0.0,0
52110,BUESACO,NARIÑO,Bajo,0.5181,0.0,0.0,0.8361,0.0,0.0,0
88564,PROVIDENCIA,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Bajo,0.5169,0.0,0.0,0.0,0.0,1.0,0
73671,SALDAÑA,TOLIMA,Medio,0.5149,0.5101,0.0,0.0,0.31,0.0,0
99001,PUERTO CARREÑO,VICHADA,Alto,0.5144,0.4566,0.0,0.8157,0.0,0.5736,0
73001,IBAGUÉ,TOLIMA,Crítico,0.5143,0.6814,0.0,0.7031,0.0,0.589,0
54720,SARDINATA,NORTE DE SANTANDER,Crítico,0.5124,0.7529,0.0,0.6553,0.0,0.25,0
44035,ALBANIA,LA GUAJIRA,Alto,0.5101,0.4165,0.0,0.7507,0.0,0.6866,0
52001,PASTO,NARIÑO,Crítico,0.5099,0.6243,0.3489,0.0,0.0,0.5407,0
47707,SANTA ANA,MAGDALENA,Bajo,0.5091,0.0,0.0,0.7136,0.0,0.3234,0
70230,CHALÁN,SUCRE,Bajo,0.5086,0.0,0.0,0.4586,0.0,0.8159,0
5154,CAUCASIA,ANTIOQUIA,Alto,0.5081,0.6916,0.0,0.0,0.25,0.25,0
18247,EL DONCELLO,CAQUETÁ,Alto,0.5062,0.4067,0.4577,0.0,0.0,0.5621,0
97666,TARAIRA,VAUPÉS,Bajo,0.5055,0.1261,0.519,0.0,0.0,0.0,0
94343,BARRANCOMINAS,GUAINÍA,Bajo,0.5055,0.0,0.6368,0.0,0.0,0.0,0
41020,ALGECIRAS,HUILA,Bajo,0.5055,0.0,0.0,0.0,0.0,0.9901,0
5480,MUTATÁ,ANTIOQUIA,Alto,0.5045,0.6176,0.0,0.0,0.0,1.0,0
97511,PACOA,VAUPÉS,Bajo,0.504,0.0,0.633,0.0,0.0,0.0,0
70508,OVEJAS,SUCRE,Bajo,0.5037,0.0,0.0,0.6747,0.0,0.6296,0
19290,FLORENCIA,CAUCA,Bajo,0.5019,0.0,0.6305,0.0,0.0,0.0,0
47001,SANTA MARTA,MAGDALENA,Alto,0.4982,0.5952,0.0,0.2485,0.0,0.8857,0
27006,ACANDÍ,CHOCÓ,Medio,0.4965,0.2764,0.0,0.0,0.0,1.0,0
20045,BECERRIL,CESAR,Alto,0.4948,0.4025,0.0,0.7441,0.0,0.625,0
20013,AGUSTÍN CODAZZI,CESAR,Medio,0.4911,0.2408,0.0,0.7537,0.0,0.25,0
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,Bajo,0.4908,0.0064,0.0,0.0,0.0,0.9462,0
91001,LETICIA,AMAZONAS,Bajo,0.4903,0.1092,0.5052,0.0,0.0,0.0,0
86757,SAN MIGUEL,PUTUMAYO,Alto,0.4898,0.3386,0.5238,0.0,0.0,0.25,0
5209,CONCORDIA,ANTIOQUIA,Bajo,0.4897,0.0,0.0,0.0,0.25,0.0,0
50683,SAN JUAN DE ARAMA,META,Alto,0.4893,0.3699,0.5085,0.0,0.0,0.2692,0
25377,LA CALERA,CUNDINAMARCA,Bajo,0.4876,0.0,0.0,0.0,0.199,0.3377,0
52473,MOSQUERA,NARIÑO,Bajo,0.4873,0.0,0.0,0.0,0.0,0.976,0
5895,ZARAGOZA,ANTIOQUIA,Alto,0.4835,0.6445,0.0,0.0,0.0,0.9683,0
18785,SOLITA,CAQUETÁ,Bajo,0.4819,0.0,0.4777,0.0,0.0,0.25,0
54498,OCAÑA,NORTE DE SANTANDER,Medio,0.4817,0.4207,0.0,0.0,0.24,0.4994,0
18479,MORELIA,CAQUETÁ,Alto,0.4804,0.3726,0.3119,0.0,0.0,0.7385,0
25154,CARMEN DE CARUPA,CUNDINAMARCA,Medio,0.4757,0.3993,0.0,0.0,0.22,0.1539,0
25845,UNE,CUNDINAMARCA,Bajo,0.4754,0.3357,0.0,0.0,0.28,0.0,0
97161,CARURÚ,VAUPÉS,Bajo,0.4746,0.0,0.5916,0.0,0.0,0.0,0
15778,SUTATENZA,BOYACÁ,Medio,0.4743,0.5302,0.0,0.0,0.26,0.0,0
15518,PAJARITO,BOYACÁ,Bajo,0.4739,0.0,0.0,0.0,0.163,0.5401,0
86755,SAN FRANCISCO,PUTUMAYO,Alto,0.4722,0.4463,0.3234,0.0,0.0,0.6734,0
73461,MURILLO,TOLIMA,Bajo,0.4707,0.2145,0.0,0.0,0.2,0.4718,0
27800,UNGUÍA,CHOCÓ,Medio,0.4696,0.3008,0.0,0.0,0.0,0.9917,0
50226,CUMARAL,META,Alto,0.4678,0.5868,0.0,0.0,0.24,0.2613,0
15761,SOMONDOCO,BOYACÁ,Medio,0.4656,0.6721,0.0,0.0,0.207,0.0,0
52835,SAN ANDRÉS DE TUMACO,NARIÑO,Alto,0.4644,0.5188,0.0,0.0,0.0,1.0,0
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,Bajo,0.4611,0.0298,0.0,0.5544,0.0,0.5901,0
52378,LA CRUZ,NARIÑO,Bajo,0.4607,0.0,0.0,0.5451,0.0,0.7093,0
97889,YAVARATÉ,VAUPÉS,Bajo,0.459,0.0,0.5715,0.0,0.0,0.0,0
47551,PIVIJAY,MAGDALENA,Bajo,0.4589,0.0,0.0,0.7607,0.0,0.0,0
76109,BUENAVENTURA,VALLE DEL CAUCA,Alto,0.4554,0.4898,0.0,0.0,0.0,0.9913,0
50124,CABUYARO,META,Medio,0.4553,0.4268,0.0,0.0,0.19,0.6377,0
91798,TARAPACÁ,AMAZONAS,Bajo,0.4493,0.0,0.5391,0.0,0.0,0.0,0
44855,URUMITA,LA GUAJIRA,Medio,0.4474,0.1171,0.0,0.5373,0.0,0.6597,0
91405,LA CHORRERA,AMAZONAS,Bajo,0.4459,0.0,0.5601,0.0,0.0,0.0,0
94884,PUERTO COLOMBIA,GUAINÍA,Bajo,0.4456,0.0,0.5597,0.0,0.0,0.0,0
19760,SOTARÁ - PAISPAMBA,CAUCA,Medio,0.4453,0.3913,0.0,0.0,0.14,0.731,0
54673,SAN CAYETANO,NORTE DE SANTANDER,Crítico,0.4435,0.7827,0.0,0.3031,0.0,0.5454,0
91530,PUERTO ALEGRÍA,AMAZONAS,Bajo,0.4434,0.0,0.5564,0.0,0.0,0.0,0
13654,SAN JACINTO,BOLÍVAR,Bajo,0.443,0.0,0.0,0.5725,0.0,0.6012,0
25530,PARATEBUENO,CUNDINAMARCA,Medio,0.4412,0.542,0.0,0.0,0.226,0.0,0
91460,MIRITÍ - PARANÁ,AMAZONAS,Bajo,0.4412,0.0,0.5328,0.0,0.0,0.0,0
91407,LA PEDRERA,AMAZONAS,Bajo,0.4366,0.0,0.516,0.0,0.0,0.0,0
27001,QUIBDÓ,CHOCÓ,Alto,0.4324,0.6417,0.0,0.0,0.11,0.66,0
19418,LÓPEZ DE MICAY,CAUCA,Medio,0.4312,0.3567,0.0,0.0,0.0,0.9649,0
5591,PUERTO TRIUNFO,ANTIOQUIA,Alto,0.4292,0.6417,0.0,0.0,0.17,0.3241,0
13600,RÍO VIEJO,BOLÍVAR,Alto,0.4276,0.6391,0.0,0.7077,0.0,0.0,0
91263,EL ENCANTO,AMAZONAS,Bajo,0.4263,0.0,0.4438,0.0,0.0,0.0,0
25839,UBALÁ,CUNDINAMARCA,Alto,0.4261,0.7293,0.0,0.0,0.105,0.3636,0
25183,CHOCONTÁ,CUNDINAMARCA,Bajo,0.4255,0.2342,0.0,0.0,0.21,0.0,0
44078,BARRANCAS,LA GUAJIRA,Alto,0.4255,0.438,0.0,0.6119,0.0,0.6807,0
94888,MORICHAL,GUAINÍA,Bajo,0.4247,0.0,0.4884,0.0,0.0,0.0,0
91536,PUERTO ARICA,AMAZONAS,Bajo,0.4247,0.0,0.4884,0.0,0.0,0.0,0
54206,CONVENCIÓN,NORTE DE SANTANDER,Bajo,0.424,0.0,0.0,0.6234,0.0,0.25,0
47798,TENERIFE,MAGDALENA,Bajo,0.4236,0.0,0.0,0.7277,0.0,0.0,0
47545,PIJIÑO DEL CARMEN,MAGDALENA,Bajo,0.4236,0.0,0.0,0.7276,0.0,0.0,0
97777,PAPUNAHUA,VAUPÉS,Bajo,0.4234,0.0,0.4706,0.0,0.0,0.0,0
25653,SAN CAYETANO,CUNDINAMARCA,Bajo,0.4216,0.2582,0.0,0.0,0.21,0.0,0
94885,LA GUADALUPE,GUAINÍA,Bajo,0.4207,0.0,0.436,0.0,0.0,0.0,0
5490,NECOCLÍ,ANTIOQUIA,Bajo,0.4205,0.0,0.0,0.0,0.0,0.9105,0
52250,EL CHARCO,NARIÑO,Medio,0.4194,0.3724,0.0,0.0,0.0,0.9539,0
13549,PINILLOS,BOLÍVAR,Bajo,0.4189,0.0,0.0,0.7142,0.0,0.0,0
99624,SANTA ROSALÍA,VICHADA,Bajo,0.4175,0.0033,0.0,0.49,0.0,0.6605,0
25297,GACHETÁ,CUNDINAMARCA,Medio,0.4174,0.4668,0.0,0.0,0.18,0.5102,0
94883,SAN FELIPE,GUAINÍA,Bajo,0.4154,0.0,0.3736,0.0,0.0,0.0,0
91430,LA VICTORIA,AMAZONAS,Bajo,0.4148,0.0,0.3714,0.0,0.0,0.0,0
73622,RONCESVALLES,TOLIMA,Bajo,0.4111,0.0,0.0,0.2953,0.0,0.7536,0
19693,SAN SEBASTIÁN,CAUCA,Bajo,0.4108,0.0,0.3668,0.0,0.0,0.0,0
5045,APARTADÓ,ANTIOQUIA,Medio,0.4082,0.3915,0.0,0.0,0.0,0.9378,0
5854,VALDIVIA,ANTIOQUIA,Alto,0.408,0.6393,0.0,0.0,0.0,0.8935,0
50573,PUERTO LÓPEZ,META,Alto,0.4069,0.5517,0.0,0.6575,0.0,0.4065,0
23068,AYAPEL,CÓRDOBA,Alto,0.4052,0.5866,0.0,0.2991,0.0,0.7706,0
19450,MERCADERES,CAUCA,Medio,0.4043,0.3894,0.0,0.6629,0.0,0.25,0
20400,LA JAGUA DE IBIRICO,CESAR,Alto,0.4019,0.4727,0.0,0.6983,0.0,0.25,0
17662,SAMANÁ,CALDAS,Medio,0.401,0.3105,0.0,0.5649,0.0,0.589,0
19075,BALBOA,CAUCA,Bajo,0.401,0.0,0.0,0.5881,0.0,0.25,0
15861,VENTAQUEMADA,BOYACÁ,Alto,0.4005,0.5314,0.0,0.0,0.147,0.5958,0
41359,ISNOS,HUILA,Bajo,0.3992,0.0363,0.0,0.0,0.09,0.656,0
20787,TAMALAMEQUE,CESAR,Medio,0.3968,0.3704,0.0,0.6993,0.0,0.0,0
68190,CIMITARRA,SANTANDER,Alto,0.3967,0.5999,0.0,0.6113,0.0,0.3973,0
13688,SANTA ROSA DEL SUR,BOLÍVAR,Alto,0.3955,0.6237,0.0,0.6359,0.0,0.25,0
15759,SOGAMOSO,BOYACÁ,Alto,0.3926,0.9443,0.0,0.0,0.0,0.041,0
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,Alto,0.3881,0.4168,0.0,0.4251,0.0,0.7354,0
81794,TAME,ARAUCA,Alto,0.3873,0.5753,0.0,0.3287,0.0,0.7236,0
